Manufacturer,Family,Name,Base frequency,TDP
Intel,Sandy bridge,Intel(R) Core(TM) i5-2310 Processor,2.90 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2320 Processor,3.00 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2390T Processor,2.70 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2430M Processor,2.40 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2450M Processor,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2510E Processor,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2635QM Processor,2.00 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2640M Processor,2.80 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2670QM Processor,2.20 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2675QM Processor,2.20 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2710QE Processor,2.10,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2760QM Processor,2.40 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2860QM Processor,2.50 ,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2960XM Processor Extreme Edition,2.70 ,55 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G620,2.60 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G620T,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G622,2.60 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G630,2.70 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G630T,2.30 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G632,2.70 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G640,2.80 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G640T,2.40 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G840,2.80 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G850,2.90 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G860,3.00 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G870,3.10,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2629M Processor,2.10,25 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2649M Processor,2.30 ,25 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2657M Processor,1.60 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2617M Processor,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2677M Processor,1.80 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2637M Processor,1.70 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2537M Processor,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2557M Processor,1.70 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2357M Processor,1.30 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2655LE Processor,2.20 ,25 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2310E Processor,2.10,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2715QE Processor,2.10,45 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2610UE Processor,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2340UE Processor,1.30 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2515E Processor,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2377M Processor,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2405S Processor,2.50 ,65 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2105 Processor,3.10,65 W
Intel,Sandy bridge,Intel(R) Xeon(R) Processor E3-1290,3.60 ,95 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor B940,2.00 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor B950,2.10,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor 957,1.20 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B810,1.60 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B810E,1.60 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 847E,1.10,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 827E,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2467M Processor,1.60 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G440,1.60 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2125 Processor,3.30 ,65 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B710,1.60 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B800,1.50 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 787,1.30 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 857,1.20 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2367M Processor,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B840,1.90 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor 967,1.30 ,17 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor B960,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2435M Processor,2.40 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i7-2700K Processor,3.50 ,95 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 807UE,1.00 ,10 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G460,1.80 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor B970,2.30 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor 977,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 797,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 867,1.30 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B815,1.60 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B720,1.70 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2450P Processor,3.20 ,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2380P Processor,3.10,95 W
Intel,Sandy bridge,Intel(R) Core(TM) i5-2550K Processor,3.40 ,95 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G860T,2.60 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 877,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B820,1.70 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor 987,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 807,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G555,2.70 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G645,2.90 ,65 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor 997,1.60 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor 887,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G465,1.90 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor G645T,2.50 ,35 W
Intel,Sandy bridge,Intel(R) Pentium(R) Processor B980,2.40 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2365M Processor,1.40 ,17 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2328M Processor,2.20 ,35 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor B830,1.80 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2375M Processor,1.50 ,17 W
Intel,Sandy bridge,Intel(R) Celeron(R) Processor G470,2.00 ,35 W
Intel,Sandy bridge,Intel(R) Core(TM) i3-2348M Processor,2.30 ,35 W
Intel,Kaby Lake R,Intel(R) Core(TM) i7-8550U Processor,1.80 ,15 W
Intel,Kaby Lake R,Intel(R) Core(TM) i5-8250U Processor,1.60 ,15 W
Intel,Kaby Lake R,Intel(R) Core(TM) i7-8650U Processor,1.90 ,15 W
Intel,Kaby Lake R,Intel(R) Core(TM) i5-8350U Processor,1.70 ,15 W
Intel,Kaby Lake R,Intel(R) Core(TM) i3-8130U Processor,2.20 ,15 W
Intel,Kaby Lake R,Intel(R) Pentium(R) Gold Processor 4417U,2.30 ,15 W
Intel,Kaby Lake R,Intel(R) Celeron(R) Processor 3867U,1.80 ,15 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3920XM Processor Extreme Edition,2.90 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3820QM Processor,2.70 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3720QM Processor,2.60 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3520M Processor,2.90 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3360M Processor,2.80 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3320M Processor,2.60 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3667U Processor,2.00 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3610QM Processor,2.30 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3615QM Processor,2.30 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3612QM Processor,2.10,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3427U Processor,1.80 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3330 Processor,3.00 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3330S Processor,2.70 ,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3450 Processor,3.10,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3450S Processor,2.80 ,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3475S Processor,2.90 ,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3550 Processor,3.30 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3550S Processor,3.00 ,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3570K Processor,3.40 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3570T Processor,2.30 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3770K Processor,3.50 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3770S Processor,3.10,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3770T Processor,2.50 ,45 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2120,3.10,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3240 Processor,3.40 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3225 Processor,3.30 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3220 Processor,3.30 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3220T Processor,2.80 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3217UE Processor,1.60 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3217U Processor,1.80 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3120ME Processor,2.40 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3110M Processor,2.40 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3570S Processor,3.10,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3570 Processor,3.40 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3470T Processor,2.90 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3610ME Processor,2.70 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3317U Processor,1.70 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3210M Processor,2.50 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3615QE Processor,2.30 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3612QE Processor,2.10,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3610QE Processor,2.30 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3555LE Processor,2.50 ,25 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3517UE Processor,1.70 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3517U Processor,1.90 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3770 Processor,3.40 ,77 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1290 v2,3.70 ,87 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1280 v2,3.60 ,69 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1275 v2,3.50 ,77 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1270 v2,3.50 ,69 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1265L v2,2.50 ,45 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1245 v2,3.40 ,77 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1240 v2,3.40 ,69 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1230 v2,3.30 ,69 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1225 v2,3.20 ,77 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1220 v2,3.10,69 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E3-1220L v2,2.30 ,17 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2100T,2.60 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3240T Processor,2.90 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3470S Processor,2.90 ,65 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3470 Processor,3.20 ,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3350P Processor,3.10,69 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3840QM Processor,2.80 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3740QM Processor,2.70 ,45 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2130,3.20 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3210 Processor,3.20 ,55 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2020T,2.50 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2020,2.90 ,55 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2010,2.80 ,55 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor G1610,2.60 ,55 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor G1620,2.70 ,55 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor G1610T,2.30 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3940XM Processor Extreme Edition,3.00 ,55 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2120T,2.70 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 2020M,2.40 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3540M Processor,3.00 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3380M Processor,2.90 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3340M Processor,2.70 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3687U Processor,2.10,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3437U Processor,1.90 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3632QM Processor,2.20 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3630QM Processor,2.40 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3635QM Processor,2.40 ,45 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3120M Processor,2.50 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 2117U,1.80 ,17 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1020M,2.10,35 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1037U,1.80 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3229Y Processor,1.40 ,13 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3339Y Processor,1.50 ,13 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3439Y Processor,1.50 ,13 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3689Y Processor,1.50 ,13 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 2129Y,1.10,10 W
Intel,Ivy bridge,Intel(R) Core(TM) i7-3537U Processor,2.00 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3337U Processor,1.80 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3230M Processor,2.60 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3227U Processor,1.90 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3130M Processor,2.60 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 2030M,2.50 ,35 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1000M,1.80 ,35 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1007U,1.50 ,17 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1020E,2.20 ,35 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1047UE,1.40 ,17 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 927UE,1.50 ,17 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3250 Processor,3.50 ,55 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3250T Processor,3.00 ,35 W
Intel,Ivy bridge,Intel(R) Core(TM) i3-3245 Processor,3.40 ,55 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2140,3.30 ,55 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2030T,2.60 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor G2030,3.00 ,55 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1019Y,1.00 ,10 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 2127U,1.90 ,17 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1017U,1.60 ,17 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor 1005M,1.90 ,35 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-2850 v2,2.30 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-2870 v2,2.30 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-2880 v2,2.50 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-2890 v2,2.80 ,155 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4809 v2,1.90 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4820 v2,2.00 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4830 v2,2.20 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4850 v2,2.30 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4860 v2,2.60 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4870 v2,2.30 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4890 v2,2.80 ,155 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8850 v2,2.30 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8857 v2,3.00 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8870 v2,2.30 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8880L v2,2.20 ,105 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8880 v2,2.50 ,130 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8890 v2,2.80 ,155 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8891 v2,3.20 ,155 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-8893 v2,3.40 ,155 W
Intel,Ivy bridge,Intel(R) Xeon(R) Processor E7-4880 v2,2.50 ,130 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3340 Processor,3.10,77 W
Intel,Ivy bridge,Intel(R) Core(TM) i5-3340S Processor,2.80 ,65 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor G1630,2.80 ,55 W
Intel,Ivy bridge,Intel(R) Celeron(R) Processor G1620T,2.40 ,35 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor 1405 v2,1.40 ,40 W
Intel,Ivy bridge,Intel(R) Pentium(R) Processor A1018,2.10,35 W
Intel,Haswell,Intel(R) Core(TM) i5-4430 Processor,3.00 ,84 W
Intel,Haswell,Intel(R) Core(TM) i5-4430S Processor,2.70 ,65 W
Intel,Haswell,Intel(R) Core(TM) i5-4440 Processor,3.10,84 W
Intel,Haswell,Intel(R) Core(TM) i5-4440S Processor,2.80 ,65 W
Intel,Haswell,Intel(R) Core(TM) i5-4570 Processor,3.20 ,84 W
Intel,Haswell,Intel(R) Core(TM) i5-4570S Processor,2.90 ,65 W
Intel,Haswell,Intel(R) Core(TM) i5-4570T Processor,2.90 ,35 W
Intel,Haswell,Intel(R) Core(TM) i5-4670 Processor,3.40 ,84 W
Intel,Haswell,Intel(R) Core(TM) i5-4670K Processor,3.40 ,84 W
Intel,Haswell,Intel(R) Core(TM) i5-4670S Processor,3.10,65 W
Intel,Haswell,Intel(R) Core(TM) i5-4670T Processor,2.30 ,45 W
Intel,Haswell,Intel(R) Core(TM) i7-4765T Processor,2.00 ,35 W
Intel,Haswell,Intel(R) Core(TM) i7-4770 Processor,3.40 ,84 W
Intel,Haswell,Intel(R) Core(TM) i7-4770K Processor,3.50 ,84 W
Intel,Haswell,Intel(R) Core(TM) i7-4770S Processor,3.10,65 W
Intel,Haswell,Intel(R) Core(TM) i7-4770T Processor,2.50 ,45 W
Intel,Haswell,Intel(R) Core(TM) i3-4130 Processor,3.40 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4130T Processor,2.90 ,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4150 Processor,3.50 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4150T Processor,3.00 ,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4160 Processor,3.60 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4160T Processor,3.10,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4170 Processor,3.70 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4350 Processor,3.60 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4350T Processor,3.10,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4360 Processor,3.70 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4360T Processor,3.20 ,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4370 Processor,3.80 ,54 W
Intel,Haswell,Intel(R) Core(TM) i7-4771 Processor,3.50 ,84 W
Intel,Haswell,Intel(R) Core(TM) i3-4330 Processor,3.50 ,54 W
Intel,Haswell,Intel(R) Core(TM) i3-4330T Processor,3.00 ,35 W
Intel,Haswell,Intel(R) Core(TM) i3-4340 Processor,3.60 ,54 W
Intel,Haswell,Intel(R) Pentium(R) Processor G3220,3.00 ,53 W
Intel,Haswell,Intel(R) Pentium(R) Processor G3220T,2.60 ,35 W
Intel,Haswell,Intel(R) Pentium(R) Processor G3420,3.20 ,53 W
